compra_id,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento_aplicado,total
1,1,21,2024-11-08,1,347.1,95.14,347.1
2,1,12,2024-11-08,4,1320.62,0.0,5282.48
3,1,16,2024-11-08,2,1236.28,0.0,2472.56
4,1,4,2024-11-08,9,2910.12,597.88,26191.08
5,1,15,2024-11-26,5,1972.19,0.0,9860.95
6,1,28,2024-11-26,9,2012.03,0.0,18108.27
7,1,27,2024-11-26,6,4955.44,0.0,29732.64
8,1,8,2024-12-11,3,540.17,0.0,1620.51
9,1,37,2024-12-11,3,1230.81,0.0,3692.43
10,1,1,2024-12-11,4,1668.56,0.0,6674.24
11,1,37,2024-12-11,9,1365.13,0.0,12286.17
12,1,2,2024-12-18,7,3089.26,0.0,21624.82
13,1,26,2024-12-18,2,186.69,0.0,373.38
14,1,22,2024-12-18,1,1882.08,0.0,1882.08
15,1,29,2025-01-14,3,2676.02,0.0,8028.06
16,1,1,2025-01-14,5,1395.62,0.0,6978.1
17,1,17,2025-01-20,1,1348.25,0.0,1348.25
18,1,28,2025-01-20,7,2991.4,0.0,20939.8
19,1,15,2025-01-20,2,2032.61,0.0,4065.22
20,1,29,2025-01-20,2,2053.97,471.93,4107.94
21,1,4,2025-01-22,3,3210.28,0.0,9630.84
22,1,16,2025-01-22,10,1252.22,0.0,12522.2
23,1,34,2025-01-22,1,2408.9,0.0,2408.9
24,1,27,2025-01-23,9,5943.53,0.0,53491.77
25,1,15,2025-01-23,7,1950.24,0.0,13651.68
26,1,15,2025-01-23,4,1531.99,0.0,6127.96
27,1,31,2025-01-27,2,5154.97,0.0,10309.94
28,1,1,2025-01-27,10,707.87,0.0,7078.7
29,1,22,2025-02-03,1,2532.2,0.0,2532.2
30,1,15,2025-02-03,6,892.21,0.0,5353.26
31,1,19,2025-02-03,5,382.4,0.0,1912.0
32,1,35,2025-02-03,6,1096.4,0.0,6578.4
33,1,22,2025-02-08,2,3586.39,0.0,7172.78
34,1,1,2025-02-08,6,1239.64,0.0,7437.84
35,1,38,2025-03-05,8,2551.05,0.0,20408.4
36,1,16,2025-03-05,6,1329.55,0.0,7977.3
37,1,16,2025-03-05,4,1033.9,0.0,4135.6
38,1,10,2025-03-05,7,2024.59,0.0,14172.13
39,1,11,2025-03-28,2,2861.29,0.0,5722.58
40,1,34,2025-03-28,6,3171.34,0.0,19028.04
41,1,32,2025-03-28,10,4113.9,0.0,41139.0
42,1,22,2025-03-28,1,1842.94,0.0,1842.94
43,1,25,2025-04-26,7,3418.97,0.0,23932.79
44,1,37,2025-04-26,2,1981.18,0.0,3962.36
45,1,18,2025-05-08,8,4823.8,0.0,38590.4
46,1,18,2025-05-08,8,3187.25,0.0,25498.0
47,1,24,2025-05-08,7,3265.31,0.0,22857.17
48,1,35,2025-05-08,2,1676.28,0.0,3352.56
49,1,1,2025-06-03,9,963.65,101.96,8672.85
50,1,7,2025-06-03,3,189.36,0.0,568.08
51,1,12,2025-06-03,4,1297.94,0.0,5191.76
52,1,4,2025-06-03,2,3497.37,0.0,6994.74
53,1,28,2025-06-09,10,3508.52,0.0,35085.2
54,1,18,2025-06-09,9,2332.38,0.0,20991.42
55,1,35,2025-06-09,10,962.81,0.0,9628.1
56,1,15,2025-06-13,6,872.87,0.0,5237.22
57,1,22,2025-06-13,4,3428.73,0.0,13714.92
58,1,29,2025-06-16,2,1930.57,469.81,3861.14
59,1,23,2025-06-16,4,1682.83,0.0,6731.32
60,1,6,2025-07-07,1,2630.12,0.0,2630.12
61,1,35,2025-07-07,3,1559.17,0.0,4677.51
62,1,30,2025-07-07,1,5726.84,0.0,5726.84
63,1,27,2025-07-07,3,2510.01,0.0,7530.03
64,1,11,2025-07-21,4,2565.64,0.0,10262.56
65,1,29,2025-07-26,8,1897.98,0.0,15183.84
66,1,3,2025-07-26,2,1172.45,0.0,2344.9
67,1,21,2025-07-26,3,921.62,0.0,2764.86
68,1,37,2025-08-22,7,1843.72,0.0,12906.04
69,1,14,2025-09-13,8,1204.62,0.0,9636.96
70,1,28,2025-09-13,7,3104.37,0.0,21730.59
71,1,35,2025-09-13,8,2033.01,0.0,16264.08
72,1,5,2025-09-20,8,597.69,0.0,4781.52
73,1,11,2025-09-20,9,3968.2,0.0,35713.8
74,1,33,2025-09-24,6,875.87,0.0,5255.22
75,1,5,2025-09-24,6,1021.38,0.0,6128.28
76,1,31,2025-09-26,2,4744.26,0.0,9488.52
77,1,31,2025-10-04,1,6057.94,0.0,6057.94
78,1,6,2025-10-04,1,1605.41,0.0,1605.41
79,1,5,2025-10-04,6,873.31,0.0,5239.86
80,1,8,2025-10-04,9,910.33,0.0,8192.97
81,1,7,2025-10-11,10,324.42,0.0,3244.2
82,1,20,2025-10-11,1,790.29,0.0,790.29
83,2,18,2024-10-31,9,4167.83,813.98,37510.47
84,2,2,2024-10-31,6,3890.71,0.0,23344.26
85,2,1,2024-10-31,1,1085.92,0.0,1085.92
86,2,20,2024-10-31,8,1398.22,0.0,11185.76
87,2,22,2024-11-01,2,3377.94,0.0,6755.88
88,2,27,2024-11-01,10,2866.18,0.0,28661.8
89,2,38,2024-11-04,6,3247.77,0.0,19486.62
90,2,35,2024-11-04,4,2044.71,0.0,8178.84
91,2,26,2024-11-11,3,433.22,0.0,1299.66
92,2,36,2024-11-11,10,671.59,0.0,6715.9
93,2,21,2024-11-11,1,544.19,0.0,544.19
94,2,25,2024-11-11,1,5196.99,0.0,5196.99
95,2,35,2024-11-17,10,959.7,0.0,9597.0
96,2,27,2024-11-22,8,5690.23,0.0,45521.84
97,2,15,2024-12-03,1,1241.26,0.0,1241.26
98,2,6,2024-12-04,7,3214.61,0.0,22502.27
99,2,4,2024-12-04,3,3649.8,0.0,10949.4
100,2,25,2024-12-17,1,2476.84,305.37,2476.84
101,2,2,2024-12-17,9,3266.32,0.0,29396.88
102,2,23,2024-12-17,9,2114.14,0.0,19027.26
103,2,7,2024-12-27,4,441.59,0.0,1766.36
104,2,29,2025-01-11,4,3301.75,0.0,13207.0
105,2,25,2025-01-11,8,4457.54,0.0,35660.32
106,2,36,2025-01-25,10,1107.03,0.0,11070.3
107,2,11,2025-01-25,2,1905.77,0.0,3811.54
108,2,26,2025-01-25,9,347.6,0.0,3128.4
109,2,37,2025-02-09,6,2396.37,0.0,14378.22
110,2,25,2025-02-09,5,3733.95,488.49,18669.75
111,2,23,2025-02-09,4,1295.32,145.98,5181.28
112,2,26,2025-02-09,5,294.64,0.0,1473.2
113,2,32,2025-02-14,4,2771.36,775.71,11085.44
114,2,14,2025-02-14,8,540.98,0.0,4327.84
115,2,36,2025-02-22,10,1230.64,0.0,12306.4
116,2,31,2025-02-22,10,5585.51,0.0,55855.1
117,2,23,2025-02-22,4,1013.35,0.0,4053.4
118,2,31,2025-02-25,6,4555.97,0.0,27335.82
119,2,27,2025-02-25,5,4259.12,0.0,21295.6
120,2,35,2025-02-25,8,2056.66,0.0,16453.28
121,2,6,2025-02-25,10,2721.11,0.0,27211.1
122,2,30,2025-03-27,5,3588.13,0.0,17940.65
123,2,17,2025-03-27,3,805.1,0.0,2415.3
124,2,22,2025-03-27,1,1735.67,0.0,1735.67
125,2,13,2025-04-08,5,1941.28,0.0,9706.4
126,2,4,2025-04-08,10,1900.34,0.0,19003.4
127,2,3,2025-04-08,8,2050.9,0.0,16407.2
128,2,8,2025-04-08,6,707.08,202.53,4242.48
129,2,12,2025-04-14,4,2227.31,0.0,8909.24
130,2,35,2025-04-14,4,1693.49,0.0,6773.96
131,2,4,2025-04-14,3,2550.06,364.56,7650.18
132,2,27,2025-04-14,7,5545.96,0.0,38821.72
133,2,3,2025-04-20,2,1016.17,178.54,2032.34
134,2,35,2025-04-20,2,989.36,0.0,1978.72
135,2,34,2025-04-20,6,4701.2,0.0,28207.2
136,2,30,2025-04-22,6,5293.07,0.0,31758.42
137,2,24,2025-04-22,6,3129.84,0.0,18779.04
138,2,5,2025-04-22,2,562.45,0.0,1124.9
139,2,1,2025-04-22,6,1416.47,0.0,8498.82
140,2,28,2025-05-07,4,3188.08,0.0,12752.32
141,2,27,2025-06-06,1,2527.95,0.0,2527.95
142,2,11,2025-06-06,2,2438.67,0.0,4877.34
143,2,4,2025-06-06,2,1760.08,0.0,3520.16
144,2,14,2025-06-12,9,967.96,0.0,8711.64
145,2,24,2025-06-12,8,3401.47,0.0,27211.76
146,2,24,2025-06-12,8,4226.97,0.0,33815.76
147,2,26,2025-06-12,6,295.34,0.0,1772.04
148,2,37,2025-06-25,8,2368.8,0.0,18950.4
149,2,16,2025-06-25,8,1390.84,0.0,11126.72
150,2,13,2025-06-25,6,1803.05,266.23,10818.3
151,2,38,2025-06-25,5,1861.48,0.0,9307.4
152,2,36,2025-07-05,8,650.38,183.38,5203.04
153,2,14,2025-07-05,5,760.98,75.69,3804.9
154,2,15,2025-07-17,4,1237.05,0.0,4948.2
155,2,34,2025-07-17,2,5331.5,0.0,10663.0
156,2,9,2025-07-17,1,2838.21,212.03,2838.21
157,2,27,2025-07-24,10,5208.08,0.0,52080.8
158,2,6,2025-07-24,4,1739.23,0.0,6956.92
159,2,12,2025-07-24,6,1768.04,0.0,10608.24
160,2,38,2025-07-31,8,2791.23,0.0,22329.84
161,2,6,2025-07-31,10,1641.36,0.0,16413.6
162,2,34,2025-07-31,4,3209.83,0.0,12839.32
163,2,16,2025-08-21,3,1100.46,0.0,3301.38
164,2,21,2025-08-21,5,634.62,0.0,3173.1
165,2,18,2025-08-21,1,5150.84,0.0,5150.84
166,2,29,2025-08-30,3,4168.06,0.0,12504.18
167,2,15,2025-08-30,1,1806.57,0.0,1806.57
168,2,2,2025-08-30,2,2845.94,0.0,5691.88
169,2,26,2025-09-09,10,476.24,0.0,4762.4
170,2,35,2025-09-09,9,1229.95,0.0,11069.55
171,2,16,2025-09-09,8,601.61,152.24,4812.88
172,2,9,2025-09-19,5,2376.66,0.0,11883.3
173,2,29,2025-09-26,4,3838.24,0.0,15352.96
174,2,5,2025-09-26,10,424.85,0.0,4248.5
175,2,21,2025-09-26,6,834.65,0.0,5007.9
176,2,18,2025-09-26,8,4577.42,0.0,36619.36
177,2,18,2025-10-07,9,5465.51,0.0,49189.59
178,2,4,2025-10-07,6,3102.72,0.0,18616.32
179,2,14,2025-10-07,9,1318.14,0.0,11863.26
180,2,2,2025-10-07,9,2207.17,0.0,19864.53
181,2,18,2025-10-08,7,4306.97,0.0,30148.79
182,2,4,2025-10-08,6,3083.2,0.0,18499.2
183,2,20,2025-10-09,8,626.14,0.0,5009.12
184,2,8,2025-10-09,8,709.43,0.0,5675.44
185,2,24,2025-10-17,10,4195.82,0.0,41958.2
186,2,38,2025-10-17,7,3025.76,0.0,21180.32
187,2,15,2025-10-17,4,1417.43,0.0,5669.72
188,2,8,2025-10-17,3,362.7,0.0,1088.1
189,3,17,2024-10-29,8,616.15,0.0,4929.2
190,3,10,2024-10-29,1,2614.27,0.0,2614.27
191,3,11,2024-11-22,2,3739.28,0.0,7478.56
192,3,5,2024-11-22,10,683.31,0.0,6833.1
193,3,21,2024-11-22,9,724.08,0.0,6516.72
194,3,1,2024-11-22,1,1675.72,0.0,1675.72
195,3,8,2024-11-30,9,740.26,64.61,6662.34
196,3,14,2024-11-30,5,1005.24,0.0,5026.2
197,3,27,2024-11-30,2,2383.93,0.0,4767.86
198,3,10,2024-11-30,9,3273.82,0.0,29464.38
199,3,35,2024-12-04,8,1340.58,0.0,10724.64
200,3,24,2024-12-04,5,3004.53,0.0,15022.65
201,3,25,2024-12-04,5,2229.23,0.0,11146.15
202,3,7,2024-12-04,3,414.75,0.0,1244.25
203,3,21,2024-12-07,1,390.89,0.0,390.89
204,3,2,2024-12-07,6,2019.18,0.0,12115.08
205,3,10,2024-12-20,7,4368.1,0.0,30576.7
206,3,16,2024-12-20,10,805.86,0.0,8058.6
207,3,11,2024-12-20,7,2059.87,0.0,14419.09
208,3,23,2024-12-28,5,1591.85,0.0,7959.25
209,3,19,2024-12-28,5,822.05,0.0,4110.25
210,3,31,2024-12-28,3,2875.77,0.0,8627.31
211,3,12,2024-12-28,9,2304.05,0.0,20736.45
212,3,24,2025-01-16,8,2442.36,0.0,19538.88
213,3,31,2025-01-16,7,2682.67,0.0,18778.69
214,3,12,2025-01-16,3,2177.68,0.0,6533.04
215,3,20,2025-01-16,6,710.12,0.0,4260.72
216,3,34,2025-01-31,1,3060.37,0.0,3060.37
217,3,19,2025-01-31,4,651.28,0.0,2605.12
218,3,25,2025-01-31,8,2242.79,0.0,17942.32
219,3,15,2025-02-26,1,1379.42,353.79,1379.42
220,3,27,2025-02-26,1,5573.03,0.0,5573.03
